Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-03-19,FlyDubai,Chennai,Dubai,Business,First Flyer,306780.19545646914
2021-03-20,FlyDubai,Chennai,Dubai,Business,First Flyer,311530.5319132399
2021-03-21,FlyDubai,Chennai,Dubai,Business,First Flyer,330272.3209882499
2021-03-22,FlyDubai,Chennai,Dubai,Business,First Flyer,318401.05496997555
2021-03-23,FlyDubai,Chennai,Dubai,Business,First Flyer,329074.3066699013
2021-03-24,FlyDubai,Chennai,Dubai,Business,First Flyer,325033.84423467616
2021-03-25,FlyDubai,Chennai,Dubai,Business,First Flyer,292516.1455261361
2021-03-26,FlyDubai,Chennai,Dubai,Business,First Flyer,307391.04539208347
2021-03-27,FlyDubai,Chennai,Dubai,Business,First Flyer,312141.1849018601
2021-03-28,FlyDubai,Chennai,Dubai,Business,First Flyer,330882.77702986734
2021-03-29,FlyDubai,Chennai,Dubai,Business,First Flyer,319011.3140645561
2021-03-30,FlyDubai,Chennai,Dubai,Business,First Flyer,329684.36881745816
2021-03-31,FlyDubai,Chennai,Dubai,Business,First Flyer,325643.9063822453
2021-04-01,FlyDubai,Chennai,Dubai,Business,First Flyer,293126.2076737044
2021-04-02,FlyDubai,Chennai,Dubai,Business,First Flyer,308001.1075396554
2021-04-03,FlyDubai,Chennai,Dubai,Business,First Flyer,312751.24704949954
2021-04-04,FlyDubai,Chennai,Dubai,Business,First Flyer,331492.83917748084
2021-04-05,FlyDubai,Chennai,Dubai,Business,First Flyer,319621.37621027883
2021-04-06,FlyDubai,Chennai,Dubai,Business,First Flyer,330294.43096119293
2021-04-07,FlyDubai,Chennai,Dubai,Business,First Flyer,326253.96852395893
2021-04-08,FlyDubai,Chennai,Dubai,Business,First Flyer,293736.26981353445
2021-04-09,FlyDubai,Chennai,Dubai,Business,First Flyer,308611.1696774362
2021-04-10,FlyDubai,Chennai,Dubai,Business,First Flyer,313361.3091853232
2021-04-11,FlyDubai,Chennai,Dubai,Business,First Flyer,332102.90131134563
2021-04-12,FlyDubai,Chennai,Dubai,Business,First Flyer,320231.43834408064
2021-04-13,FlyDubai,Chennai,Dubai,Business,First Flyer,330904.4930950034
2021-04-14,FlyDubai,Chennai,Dubai,Business,First Flyer,326864.03065779543
2021-04-15,FlyDubai,Chennai,Dubai,Business,First Flyer,294346.3319473539
2021-04-16,FlyDubai,Chennai,Dubai,Business,First Flyer,309221.23181130405
2021-04-17,FlyDubai,Chennai,Dubai,Business,First Flyer,313971.3712944216
2021-04-18,FlyDubai,Chennai,Dubai,Business,First Flyer,332712.9633956686
2021-04-19,FlyDubai,Chennai,Dubai,Business,First Flyer,320841.50040365383
2021-04-20,FlyDubai,Chennai,Dubai,Business,First Flyer,331514.5551298619
2021-04-21,FlyDubai,Chennai,Dubai,Business,First Flyer,327474.09266791755
2021-04-22,FlyDubai,Chennai,Dubai,Business,First Flyer,294956.39393271605
2021-04-23,FlyDubai,Chennai,Dubai,Business,First Flyer,309831.29377194616
2021-04-24,FlyDubai,Chennai,Dubai,Business,First Flyer,314581.4332550116
2021-04-25,FlyDubai,Chennai,Dubai,Business,First Flyer,333323.0253563334
